review_id,order_id,rating,food_rating,delivery_rating,review_text,created_at
RV0000000,O0264120,5,5,5,Perfectly packed,2022-08-26 07:39:14
RV0000001,O0202111,4,5,5,Tasty and quick,2024-03-15 08:58:37
RV0000002,O0052831,4,4,5,Decent meal,2024-07-13 14:40:32
RV0000003,O0200995,5,4,5,Excellent!@@@,2023-02-10 02:35:03
RV0000004,O0125648,4,3,4,Pretty good,2025-06-15 14:37:41
RV0000005,O0293530,5,5,5,Perfectly packed,2024-09-06 10:33:23
RV0000006,O0150630,5,4,4,Fantastic taste,2025-09-01 12:42:00
RV0000007,O0189845,5,5,5,Fantastic taste,2025-07-17 17:09:35
RV0000008,O0190373,5,4,5,Best biryani ever,2025-03-02 04:23:13
RV0000009,O0138490,5,5,5,Super fast delivery,2025-08-24 10:38:40
RV0000010,O0277958,4,3,3,Liked it,2025-03-06 00:12:32
RV0000011,O0027023,5,5,4,Amazing food!,2024-04-19 20:39:08
RV0000012,O0271640,3,3,2,Acceptable,2024-10-29 15:50:56
RV0000013,O0193499,2,3,2,Packaging issue,2025-10-02 05:49:48
RV0000014,O0174686,5,5,5,Super fast delivery,2025-01-28 13:23:28
RV0000015,O0239555,4,3,3,Tasty and quick,2022-07-21 23:08:00
RV0000016,O0001256,5,4,5,Fantastic taste,2025-11-11 19:48:42
RV0000017,O0215828,1,1,2,Disgusting,2025-01-01 16:59:58
RV0000018,O0119406,4,4,4,Would recommend,2025-07-27 05:29:57
RV0000019,O0276951,99999,2,4,Okay food,2025-02-03 01:05:16
RV0000020,O0032670,4,4,5,Value for money,2022-06-28 01:46:30
RV0000021,O0171477,5,5,5,Hot and fresh,2023-06-20 05:53:12
RV0000022,O0048374,4,3,5,Nice experience,2025-03-30 15:40:12
RV0000023,O0178196,1,2,1,Never ordering again,2025-09-10 12:37:27
RV0000024,O0125875,5,5,5,Will order again,2025-12-14 11:18:40
RV0000025,O0026068,5,5,5,Will order again,2025-12-21 04:58:31
RV0000026,O0014821,4,99999,5,Value for money,2025-06-27 00:50:25
