refund_id,order_id,refund_reason,refund_type,refund_amount,refund_method,refund_status,initiated_at,processed_at
RF0000001,O0000031,delay,full,1466.0,wallet,processed,2025-03-15 03:15:29,2025-03-17 03:15:29
RF0000002,O0000065,restaurant_issue,partial,692.71,wallet!!!,processed,2023-02-17 20:02:38,2023-02-21 20:02:38
RF0000003,O0000073,user_cancel,partial,383.08,cash,processed,2024-08-07 14:57:08,2024-08-09 14:57:08
RF0000004,O0000152,restaurant_issue,full,502.0,card,processed,2024-06-21 14:31:49,2024-06-25 14:31:49
RF0000005,O0000155,delay,partial,505.99,cash,pending,2024-08-06 17:22:38,2024-08-07 17:22:38
RF0000006,O0000164,restaurant_issue,full,535.0,card,processed,2024-01-02 13:11:13,2024-01-05 13:11:13
RF0000007,O0000195,user_cancel,full,1018.0,card,processed,2025-01-07 02:28:01,2025-01-12 02:28:01
RF0000008,O0000196,delay,partial,758.57,cash,processed,2025-07-03 12:59:13,2025-07-08 12:59:13
RF0000009,O0000223,user_cancel,full,743.0,upi,pending,2022-05-05 06:27:49,2022-05-09 06:27:49
RF0000010,O0000232,restaurant_issue,full,1128.0,upi,processed,2022-10-21 20:54:06,2022-10-22 20:54:06
RF0000011,O0000246,delay,partial,213.24,upi,failed,2024-07-16 18:45:41,2024-07-21 18:45:41
RF0000012,O0000260,restaurant_issue,partial,767.47,cash,processed,2022-06-24 05:16:40,2022-06-29 05:16:40
RF0000013,O0000281,delay,partial,55.52,cash,processed,2025-11-30 23:53:18,2025-12-04 23:53:18
RF0000014,O0000293,delay,full,2248.0,upi,processed,2024-12-10 06:35:23,2024-12-11 06:35:23
RF0000015,O0000339,user_cancel,partial,956.14,cash,processed,2024-11-07 22:42:59,2024-11-10 22:42:59
RF0000016,O0000341,user_cancel,partial,749.84,card,processed,2024-09-24 12:23:55,2024-09-29 12:23:55
RF0000017,O0000358,user_cancel,partial,446.98,card,processed,2022-01-19 10:52:57,2022-01-22 10:52:57
RF0000018,O0000361,user_cancel,partial,1033.67,upi,processed,2025-03-24 09:08:54,2025-03-28 09:08:54
RF0000019,O0000393,delay,partial,267.54,card,processed,2025-09-03 18:18:10,2025-09-07 18:18:10
RF0000020,O0000409,user_cancel,partial###,415.85,cash,processed,2024-10-12 06:27:47,2024-10-16 06:27:47
RF0000021,O0000430,delay,partial,447.38,upi,processed,2023-06-14 20:26:00,2023-06-15 20:26:00
RF0000022,O0000435,restaurant_issue,partial,721.33,cash,processed,2025-08-12 18:16:01,2025-08-15 18:16:01
RF0000023,O0000471,restaurant_issue,full,918.0,upi,processed,2024-05-04 06:48:06,2024-05-08 06:48:06
RF0000024,O0000479,user_cancel,partial,300.92,card,processed,2024-10-28 05:02:21,2024-11-01 05:02:21
RF0000025,O0000484,delay,partial,210.36,upi,processed,2025-01-04 08:14:52,2025-01-07 08:14:52
RF0000026,O0000532,user_cancel,partial,950.78,wallet,pending,2023-12-22 14:43:01,2023-12-27 14:43:01
RF0000027,O0000547,delay,full,640.0,wallet,processed,2023-12-06 07:24:57,2023-12-08 07:24:57
RF0000028,O0000553,delay,full,932.0,wallet,processed,2024-05-04 04:03:07,2024-05-08 04:03:07
RF0000029,O0000585,restaurant_issue,full,830.0,cash,processed,2025-01-05 04:43:35,2025-01-06 04:43:35
RF0000030,O0000588,restaurant_issue,full,316.0,card,processed,2022-12-10 14:25:03,2022-12-15 14:25:03
RF0000031,O0000608,delay,partial,469.3,wallet,processed,2025-10-04 21:49:46,2025-10-06 21:49:46
RF0000032,O0000643,delay,partial,607.65,card,pending,2025-02-22 02:20:01,2025-02-26 02:20:01
RF0000033,O0000790,delay,partial,223.06,cash,processed,2024-09-24 12:43:14,2024-09-28 12:43:14
RF0000034,O0000806,delay ,partial,450.62,wallet,processed,2023-04-10 19:15:39,2023-04-14 19:15:39
RF0000035,O0000810,user_cancel,partial,170.55,upi,processed,2023-06-21 03:26:49,2023-06-25 03:26:49
RF0000036,O0000817,delay,full,344.0,wallet,processed,2022-09-23 22:48:52,2022-09-27 22:48:52
RF0000037,O0000825,delay,partial,1129.5,card,processed,2024-04-30 03:54:28,2024-05-01 03:54:28
RF0000038,O0000834,user_cancel,partial,562.39,cash,processed,2024-05-21 07:27:18,2024-05-24 07:27:18
RF0000039,O0000852,restaurant_issue,partial,168.9,upi,failed,2024-09-26 02:23:39,2024-09-30 02:23:39
RF0000040,O0000868,user_cancel,partial,691.77,upi,processed,2023-04-04 06:47:19,2023-04-09 06:47:19
RF0000041,O0000882,user_cancel,full,1677.0,wallet,processed,2024-06-17 04:56:53,2024-06-19 04:56:53
RF0000042,O0000892,user_cancel,partial,521.59,upi,processed,2023-05-19 14:56:29,2023-05-22 14:56:29
RF0000043,O0000893,user_cancel,full,745.0,cash,processed,,2024-11-03 06:31:38
RF0000044,O0000913,delay,full,1675.0,upi,processed,2025-03-28 17:46:20,2025-04-02 17:46:20
RF0000045,O0000937,delay,partial,172.47,cash,processed,2025-11-24 03:42:56,2025-11-27 03:42:56
RF0000046,O0000986,user_cancel,full,1144.0,upi,processed,2023-12-02 14:00:32,2023-12-07 14:00:32
RF0000047,O0000988,user_cancel,partial,161.8,upi,processed,2025-07-08 00:33:58,2025-07-13 00:33:58
RF0000048,O0000992,restaurant_issue,full,680.0,card,processed,2024-04-14 08:41:32,2024-04-15 08:41:32
RF0000049,O0001004,user_cancel,full,229.0,upi,processed,2024-11-15 15:02:29,2024-11-17 15:02:29
RF0000050,O0001017,user_cancel,partial,198.7,card,failed,2021-11-15 08:45:16,2021-11-16 08:45:16
RF0000051,O0001041,user_cancel,partial,159.86,card,processed,2023-07-30 18:36:40,2023-08-02 18:36:40
RF0000052,O0001048,restaurant_issue,partial,443.17,upi,processed,2025-10-12 11:45:43,2025-10-14 11:45:43
RF0000053,O0001066,delay,partial,-1.0,wallet,processed,2025-04-20 04:50:29,2025-04-21 04:50:29
RF0000054,O0001092,user_cancel,full,607.0,upi!!!,processed,2025-11-09 09:56:19,2025-11-11 09:56:19
RF0000055,O0001106,user_cancel,partial,656.96,upi,processed,2025-12-19 17:20:35,2025-12-22 17:20:35
RF0000056,O0001115,delay,partial,865.23,cash,processed,2024-11-24 01:12:12,2024-11-26 01:12:12
RF0000057,O0001145,delay,partial,629.39,upi,processed,2025-08-25 06:44:29,2025-08-26 06:44:29
RF0000058,O0001157,delay,partial,309.03,cash,processed,2022-12-08 19:04:21,2022-12-09 19:04:21
RF0000059,O0001172,delay,full,1544.0,upi,processed!!!,2022-07-10 12:41:36,2022-07-11 12:41:36
RF0000060,O0001186,restaurant_issue,partial,573.58,wallet,processed,,2025-12-29 01:21:32
RF0000061,O0001230,restaurant_issue,partial,933.05,card,processed,2025-03-26 03:04:37,2025-03-30 03:04:37
RF0000062,O0001234,delay,full,1133.0,card,processed,2025-04-22 20:22:05,2025-04-26 20:22:05
RF0000063,O0001235,delay,partial,178.59,wallet,processed,2024-07-06 21:38:11,2024-07-08 21:38:11
RF0000064,O0001279,delay,full,517.0,wallet,processed,2022-07-24 02:10:05,2022-07-26 02:10:05
RF0000065,O0001284,restaurant_issue,full,1986.0,upi,pending,2025-12-19 20:16:43,2025-12-23 20:16:43
RF0000066,O0001306,user_cancel,partial,373.74,cash,processed,2024-05-02 09:12:51,2024-05-05 09:12:51
RF0000067,O0001317,user_cancel,partial,570.76,upi,processed,2025-05-27 20:47:04,2025-06-01 20:47:04
RF0000068,O0001328,user_cancel,full,1000.0,upi,processed,2024-08-23 17:19:18,2024-08-25 17:19:18
RF0000069,O0001364,user_cancel,full,1397.0,upi!!!,processed,2025-02-19 22:57:03,2025-02-24 22:57:03
RF0000070,O0001380,restaurant_issue,partial,864.72,upi,processed,2025-11-23 00:07:46,2025-11-28 00:07:46
RF0000071,O0001394,restaurant_issue,full,682.0,cash,processed,2025-07-19 04:22:59,2025-07-23 04:22:59
RF0000072,O0001402,user_cancel ,full,976.0,upi,pending,2025-02-11 18:10:31,2025-02-14 18:10:31
RF0000073,O0001413,user_cancel,partial,105.58,cash,processed,2022-04-16 15:59:11,2022-04-17 15:59:11
RF0000074,O0001416,restaurant_issue,partial,69.15,upi,processed,2023-08-27 22:51:57,2023-08-30 22:51:57
RF0000075,O0001489,user_cancel,full,640.0,wallet,processed,2025-10-27 23:32:31,2025-11-01 23:32:31
RF0000076,O0001535,delay,full,584.0,upi,processed,2022-08-30 20:02:04,2022-09-03 20:02:04
RF0000077,O0001536,delay,partial,581.18,cash,processed,2024-04-19 12:54:58,2024-04-23 12:54:58
RF0000078,O0001558,delay,partial,288.57,upi!!!,processed,2024-10-13 23:21:59,2024-10-15 23:21:59
RF0000079,O0001579,user_cancel,partial,546.79,card,processed,2025-11-03 15:05:49,2025-11-06 15:05:49
RF0000080,O0001595,restaurant_issue,full,158.0,wallet,processed,2023-10-15 18:57:38,2023-10-17 18:57:38
RF0000081,O0001640,user_cancel,partial,811.94,cash,processed,2025-08-21 22:39:18,2025-08-23 22:39:18
RF0000082,O0001676,user_cancel,partial,306.59,card,pending,2025-04-30 08:03:26,2025-05-04 08:03:26
RF0000083,O0001714,user_cancel,full,369.0,cash,processed,2025-05-05 16:39:08,2025-05-09 16:39:08
RF0000084,O0001731,restaurant_issue,partial,534.56,wallet,processed,2025-06-24 05:03:29,2025-06-28 05:03:29
RF0000085,O0001805,user_cancel,partial,953.86,upi,processed,2024-06-19 13:44:17,2024-06-23 13:44:17
RF0000086,O0001806,restaurant_issue,partial,235.69,,pending,2024-09-26 09:26:27,2024-09-29 09:26:27
RF0000087,O0001814,user_cancel,full,1648.0,upi,processed,2025-12-30 01:05:10,2025-12-31 01:05:10
RF0000088,O0001829,user_cancel,partial,142.76,wallet,processed!!!,2025-01-03 17:20:40,2025-01-08 17:20:40
RF0000089,O0001834,user_cancel,partial,453.36,cash,processed,2022-12-02 22:57:48,2022-12-03 22:57:48
RF0000090,O0001843,user_cancel,full,1834.0,upi,processed,2025-01-04 12:36:38,2025-01-07 12:36:38
RF0000091,O0001848,restaurant_issue,partial,236.73,cash,processed,2024-03-10 02:50:45,2024-03-11 02:50:45
RF0000092,O0001969,restaurant_issue,partial,1280.1,upi,processed,2024-05-19 00:41:59,2024-05-23 00:41:59
RF0000093,O0001994,user_cancel,partial###,660.2,cash,processed,2023-06-19 19:18:37,2023-06-22 19:18:37
RF0000094,O0002040,user_cancel,full,787.0,upi,pending,2025-11-19 00:06:56,2025-11-24 00:06:56
RF0000095,O0002122,restaurant_issue,full,435.0,cash,processed,2024-01-27 06:22:47,2024-01-29 06:22:47
RF0000096,O0002123,restaurant_issue,full,2440.0,upi,processed,2025-07-23 19:46:20,2025-07-25 19:46:20
RF0000097,O0002134,restaurant_issue,partial,323.08,wallet,processed,2024-07-08 19:50:45,2024-07-11 19:50:45
RF0000098,O0002158,delay,full,614.0,card,processed,2025-09-04 21:23:37,2025-09-08 21:23:37
RF0000099,O0002175,delay,partial,569.53,card,processed,2023-04-24 17:42:08,2023-04-25 17:42:08
RF0000100,O0002218,delay,full###,535.0,cash,processed,2022-11-14 20:03:33,2022-11-15 20:03:33
RF0000101,O0002254,delay,partial,560.49,card!!!,processed,2024-09-28 05:50:33,2024-09-30 05:50:33
RF0000102,O0002277,restaurant_issue,partial,690.92,upi,processed,2024-11-09 07:32:22,2024-11-12 07:32:22
RF0000103,O0002286,restaurant_issue,partial,759.64,,processed,2024-04-08 09:49:22,2024-04-11 09:49:22
RF0000104,O0002287,restaurant_issue,partial,249.18,cash,processed!!!,2023-09-18 04:24:26,2023-09-21 04:24:26
RF0000105,O0002324,restaurant_issue,partial,210.26,card,processed,2024-05-14 07:25:26,2024-05-17 07:25:26
RF0000106,O0002339,delay,partial,160.39,wallet,processed,2024-04-23 11:52:26,2024-04-26 11:52:26
RF0000107,O0002345,user_cancel,full,1000.0,wallet,processed,2025-05-04 18:40:22,2025-05-08 18:40:22
RF0000108,O0002356,user_cancel,full,1296.0,upi!!!,processed,2025-01-25 17:47:40,2025-01-28 17:47:40
RF0000109,O0002379,restaurant_issue,partial,968.46,wallet,processed,2025-09-14 03:03:50,2025-09-17 03:03:50
RF0000110,O0002460,delay,full###,496.0,card,processed,2023-02-26 00:10:11,2023-02-27 00:10:11
RF0000111,O0002472,user_cancel,full,740.0,wallet,failed,2023-04-26 15:58:47,2023-05-01 15:58:47
RF0000112,O0002474,user_cancel,partial,395.14,cash,processed,,2023-10-13 06:44:19
RF0000113,O0002481,restaurant_issue,full,433.0,upi,processed,2023-02-25 16:59:47,2023-02-28 16:59:47
RF0000114,O0002494,user_cancel,partial,327.21,upi,processed,2025-01-06 18:35:32,2025-01-07 18:35:32
RF0000115,O0002498,delay,full,968.0,card,processed,2025-12-29 01:10:41,2025-12-30 01:10:41
RF0000116,O0002513,user_cancel,partial,529.05,wallet,processed,2025-10-11 04:01:34,2025-10-16 04:01:34
RF0000117,O0002518,delay,partial,671.82,card,failed,2024-08-20 12:36:48,2024-08-24 12:36:48
RF0000118,O0002520,restaurant_issue,full,1565.0,upi,processed,2024-04-15 19:56:53,2024-04-20 19:56:53
RF0000119,O0002523,restaurant_issue,full,1103.0,card,processed,2022-10-08 19:12:38,2022-10-12 19:12:38
RF0000120,O0002551,delay,full,450.0,card,processed,2025-10-04 10:22:45,2025-10-06 10:22:45
RF0000121,O0002557,restaurant_issue,partial,247.06,card,processed,2025-04-23 14:51:01,2025-04-27 14:51:01
RF0000122,O0002558,delay,partial,141.31,,processed,2025-06-28 09:17:45,2025-06-29 09:17:45
RF0000123,O0002573,restaurant_issue,partial,-1.0,card,processed,2023-02-23 05:48:16,2023-02-28 05:48:16
RF0000124,O0002583,restaurant_issue,partial,131.71,wallet,processed,2023-04-08 11:44:21,2023-04-12 11:44:21
RF0000125,O0002587,delay,partial,254.19,wallet,processed,2024-04-13 14:17:24,2024-04-16 14:17:24
RF0000126,O0002616,delay,partial,515.76,card,processed,2023-02-06 21:03:53,2023-02-09 21:03:53
RF0000127,O0002636,user_cancel,partial,1035.86,upi,pending,,2023-09-24 18:49:50
RF0000128,O0002643,user_cancel,full,-1.0,wallet,processed,2023-12-04 02:04:03,2023-12-06 02:04:03
RF0000129,O0002651,delay ,partial,281.8,upi,processed,2023-12-07 01:24:53,2023-12-11 01:24:53
RF0000130,O0002660,restaurant_issue,partial,244.47,cash,processed,2023-09-07 12:35:08,2023-09-09 12:35:08
RF0000131,O0002693,restaurant_issue,partial,162.05,cash,processed,2024-02-24 17:53:07,2024-02-29 17:53:07
RF0000132,O0002731,restaurant_issue,partial,950.56,cash,pending,2025-05-29 15:09:31,2025-06-03 15:09:31
RF0000133,O0002732,delay,full,776.0,upi,processed,2025-09-29 03:20:26,2025-10-01 03:20:26
RF0000134,O0002789,delay,partial,325.11,card,processed,2025-07-27 23:51:01,2025-07-28 23:51:01
RF0000135,O0002821,restaurant_issue,partial,374.39,cash,processed,2025-04-11 23:20:34,2025-04-13 23:20:34
RF0000136,O0002832,delay,partial,252.96,card,processed,2021-08-28 23:58:52,2021-09-01 23:58:52
RF0000137,O0002878,delay,partial,242.83,cash,processed,2025-03-06 19:10:24,2025-03-07 19:10:24
RF0000138,O0002889,user_cancel,full,1214.0,card,processed,2025-08-05 18:06:42,2025-08-10 18:06:42
RF0000139,O0002896,delay,partial,1492.15,card,processed,2025-04-12 17:28:34,2025-04-14 17:28:34
RF0000140,O0002924,delay,full,710.0,wallet,processed,2025-09-15 15:10:53,2025-09-20 15:10:53
RF0000141,O0002936,delay,full,879.0,cash,processed,2025-08-18 18:11:43,2025-08-22 18:11:43
RF0000142,O0003040,user_cancel,partial,705.95,wallet,processed,2024-09-19 10:03:08,2024-09-21 10:03:08
RF0000143,O0003044,user_cancel,partial,958.55,upi,processed,2025-01-08 08:16:35,2025-01-13 08:16:35
RF0000144,O0003116,user_cancel,partial,1909.66,upi,processed,2025-02-23 04:27:25,2025-02-26 04:27:25
RF0000145,O0003123,delay,partial,-1.0,wallet,processed,2025-01-22 07:38:26,2025-01-24 07:38:26
RF0000146,O0003207,user_cancel,partial,534.41,wallet,processed,2024-09-18 09:10:10,2024-09-20 09:10:10
RF0000147,O0003220,restaurant_issue,full,800.0,wallet,processed,2025-01-04 23:38:09,2025-01-08 23:38:09
RF0000148,O0003248,delay,partial,1089.08,cash,processed,2024-06-12 05:23:47,2024-06-14 05:23:47
RF0000149,O0003257,restaurant_issue,full,476.0,wallet,processed,2025-10-11 06:31:40,2025-10-16 06:31:40
RF0000150,O0003264,user_cancel,full,942.0,upi,processed,2024-09-26 17:41:42,2024-10-01 17:41:42
RF0000151,O0003276,restaurant_issue,full,358.0,cash,processed,,2025-12-31 05:59:13
RF0000152,O0003288,delay,partial,690.92,upi,processed,2023-11-22 04:41:25,2023-11-23 04:41:25
RF0000153,O0003312,delay,partial,561.22,upi,processed,2024-01-22 23:57:28,2024-01-25 23:57:28
RF0000154,O0003328,user_cancel,partial,1500.2,cash,processed,2023-04-07 14:53:18,2023-04-10 14:53:18
RF0000155,O0003329,restaurant_issue,partial,265.52,cash,processed,2025-04-22 17:32:59,2025-04-24 17:32:59
RF0000156,O0003332,restaurant_issue,full,1390.0,card,processed,2024-10-27 12:41:07,2024-10-28 12:41:07
RF0000157,O0003364,delay,partial,312.7,wallet,processed,2025-10-11 04:55:44,2025-10-14 04:55:44
RF0000158,O0003391,user_cancel,partial,1156.04,cash,processed,2023-07-16 17:57:54,2023-07-17 17:57:54
