Date_Key;FullDate;DayNumberOfMonth;DayNumberOfWeek;DayName;MonthNumber;MonthName;QuarterNumber;QuarterName;CalendarYear;YearMonth;IsWeekend
20130101;2013-01-01;1;2;Tuesday;1;January;1;Q1;2013;2013-01;0
20130102;2013-01-02;2;3;Wednesday;1;January;1;Q1;2013;2013-01;0
20130103;2013-01-03;3;4;Thursday;1;January;1;Q1;2013;2013-01;0
20130104;2013-01-04;4;5;Friday;1;January;1;Q1;2013;2013-01;0
20130105;2013-01-05;5;6;Saturday;1;January;1;Q1;2013;2013-01;1
20130106;2013-01-06;6;7;Sunday;1;January;1;Q1;2013;2013-01;1
20130107;2013-01-07;7;1;Monday;1;January;1;Q1;2013;2013-01;0
20130108;2013-01-08;8;2;Tuesday;1;January;1;Q1;2013;2013-01;0
20130109;2013-01-09;9;3;Wednesday;1;January;1;Q1;2013;2013-01;0
20130110;2013-01-10;10;4;Thursday;1;January;1;Q1;2013;2013-01;0
20130111;2013-01-11;11;5;Friday;1;January;1;Q1;2013;2013-01;0
20130112;2013-01-12;12;6;Saturday;1;January;1;Q1;2013;2013-01;1
20130113;2013-01-13;13;7;Sunday;1;January;1;Q1;2013;2013-01;1
20130114;2013-01-14;14;1;Monday;1;January;1;Q1;2013;2013-01;0
20130115;2013-01-15;15;2;Tuesday;1;January;1;Q1;2013;2013-01;0
20130116;2013-01-16;16;3;Wednesday;1;January;1;Q1;2013;2013-01;0
20130117;2013-01-17;17;4;Thursday;1;January;1;Q1;2013;2013-01;0
20130118;2013-01-18;18;5;Friday;1;January;1;Q1;2013;2013-01;0
20130119;2013-01-19;19;6;Saturday;1;January;1;Q1;2013;2013-01;1
20130120;2013-01-20;20;7;Sunday;1;January;1;Q1;2013;2013-01;1
20130121;2013-01-21;21;1;Monday;1;January;1;Q1;2013;2013-01;0
20130122;2013-01-22;22;2;Tuesday;1;January;1;Q1;2013;2013-01;0
20130123;2013-01-23;23;3;Wednesday;1;January;1;Q1;2013;2013-01;0
20130124;2013-01-24;24;4;Thursday;1;January;1;Q1;2013;2013-01;0
20130125;2013-01-25;25;5;Friday;1;January;1;Q1;2013;2013-01;0
20130126;2013-01-26;26;6;Saturday;1;January;1;Q1;2013;2013-01;1
20130127;2013-01-27;27;7;Sunday;1;January;1;Q1;2013;2013-01;1
20130128;2013-01-28;28;1;Monday;1;January;1;Q1;2013;2013-01;0
20130129;2013-01-29;29;2;Tuesday;1;January;1;Q1;2013;2013-01;0
20130130;2013-01-30;30;3;Wednesday;1;January;1;Q1;2013;2013-01;0
20130131;2013-01-31;31;4;Thursday;1;January;1;Q1;2013;2013-01;0
20130201;2013-02-01;1;5;Friday;2;February;1;Q1;2013;2013-02;0
20130202;2013-02-02;2;6;Saturday;2;February;1;Q1;2013;2013-02;1
20130203;2013-02-03;3;7;Sunday;2;February;1;Q1;2013;2013-02;1
20130204;2013-02-04;4;1;Monday;2;February;1;Q1;2013;2013-02;0
20130205;2013-02-05;5;2;Tuesday;2;February;1;Q1;2013;2013-02;0
20130206;2013-02-06;6;3;Wednesday;2;February;1;Q1;2013;2013-02;0
20130207;2013-02-07;7;4;Thursday;2;February;1;Q1;2013;2013-02;0
20130208;2013-02-08;8;5;Friday;2;February;1;Q1;2013;2013-02;0
20130209;2013-02-09;9;6;Saturday;2;February;1;Q1;2013;2013-02;1
