PerformanceRating_ID;PerformanceCode;Employee_ID;ReviewDateKey;EnvironmentSatisfactionKey;JobSatisfactionKey;RelationshipSatisfactionKey;WorkLifeBalanceKey;SelfRatingKey;ManagerRatingKey;TrainingOpportunitiesWithinYear;TrainingOpportunitiesTaken;ReviewCount
1;PR01;696;20130102;5;3;5;3;2;2;1;0;1
2;PR02;1040;20130103;5;3;3;3;2;3;1;3;1
3;PR03;1417;20130103;2;3;5;2;1;2;3;2;1
4;PR04;37;20130104;5;2;1;1;3;4;2;0;1
5;PR05;472;20130104;5;1;2;3;2;3;1;0;1
6;PR06;1433;20130104;2;2;1;3;2;2;2;0;1
7;PR07;893;20130108;2;3;5;5;2;3;2;1;1
8;PR08;33;20130110;3;5;3;2;3;4;1;1;1
9;PR09;1422;20130110;3;5;1;3;1;2;1;1;1
10;PR10;679;20130111;5;3;2;3;1;2;2;3;1
11;PR100;998;20130410;3;2;2;3;3;3;2;0;1
12;PR1000;463;20160316;3;3;1;3;1;1;2;2;1
13;PR1001;1190;20160317;2;5;2;2;1;1;2;2;1
14;PR1002;852;20160318;3;2;2;1;2;3;2;2;1
15;PR1003;1260;20160318;2;5;3;5;1;1;1;0;1
16;PR1004;1285;20160318;2;3;2;1;2;2;2;3;1
17;PR1005;780;20160319;2;3;1;3;1;1;3;1;1
18;PR1006;877;20160319;5;3;1;1;3;3;1;1;1
19;PR1007;1300;20160322;5;3;2;2;2;3;3;2;1
20;PR1008;331;20160323;5;3;1;3;2;3;2;0;1
21;PR1009;1064;20160323;2;2;3;1;3;3;2;1;1
22;PR101;137;20130412;5;1;5;5;1;2;1;0;1
23;PR1010;1132;20160323;3;1;2;1;2;2;3;0;1
24;PR1011;459;20160324;3;1;5;1;1;1;1;2;1
25;PR1012;744;20160324;2;3;2;3;1;2;2;0;1
26;PR1013;759;20160325;2;5;2;3;3;3;1;1;1
27;PR1014;550;20160325;2;2;2;5;1;1;2;1;1
28;PR1015;563;20160327;5;2;1;5;1;2;2;0;1
29;PR1016;403;20160327;2;5;2;1;3;3;3;0;1
30;PR1017;949;20160327;3;2;3;5;2;3;2;1;1
31;PR1018;1123;20160327;2;3;3;2;2;3;1;2;1
32;PR1019;870;20160328;3;3;1;5;1;2;2;1;1
33;PR102;465;20130413;2;2;2;5;3;3;3;1;1
34;PR1020;6;20160329;2;2;5;2;1;2;3;0;1
35;PR1021;18;20160330;3;3;2;3;1;2;2;0;1
36;PR1022;939;20160330;2;5;3;5;3;3;3;2;1
37;PR1023;1274;20160330;5;3;1;1;2;3;2;0;1
38;PR1024;813;20160331;5;1;5;1;1;2;1;1;1
39;PR1025;770;20160331;5;2;1;1;2;3;2;0;1
40;PR1026;156;20160401;2;3;5;5;3;4;3;2;1
41;PR1027;11;20160402;3;1;1;3;2;2;2;1;1
42;PR1028;48;20160402;3;3;5;3;1;2;3;1;1
43;PR1029;740;20160402;5;5;2;2;2;3;3;0;1
44;PR103;1128;20130414;2;1;5;5;2;2;3;1;1
45;PR1030;1045;20160403;5;3;5;3;1;1;2;1;1
46;PR1031;83;20160405;3;1;3;2;1;1;2;2;1
47;PR1032;147;20160405;5;5;5;3;3;4;3;0;1
48;PR1033;322;20160405;5;2;5;1;2;2;3;1;1
49;PR1034;44;20160406;2;1;2;3;2;3;3;2;1
50;PR1035;843;20160408;2;2;1;1;3;4;1;0;1
51;PR1036;998;20160409;2;5;2;1;1;1;2;0;1
52;PR1037;467;20160409;2;2;5;1;2;2;2;1;1
53;PR1038;986;20160410;3;3;1;1;2;3;3;1;1
54;PR1039;1403;20160410;3;5;3;1;3;4;2;1;1
55;PR104;1173;20130414;2;3;3;5;3;4;3;1;1
56;PR1040;711;20160410;5;3;1;1;1;2;2;0;1
57;PR1041;137;20160411;5;2;1;3;3;3;1;1;1
58;PR1042;157;20160411;3;5;2;5;1;2;3;0;1
