year,month,month_name,completed_orders,revenue,avg_order_value
2021,1,January,33,24685.8,748.05
2021,2,February,92,81627.58,887.26
2021,3,March,130,108864.69,837.42
2021,4,April,194,166177.91,856.59
2021,5,May,285,253918.19,890.94
2021,6,June,296,264980.06,895.2
2021,7,July,416,342627.92,823.62
2021,8,August,411,362038.15,880.87
2021,9,September,492,446747.97,908.02
2021,10,October,562,526800.45,937.37
2021,11,November,688,627992.87,912.78
2021,12,December,724,641171.04,885.6
2022,1,January,1006,882855.73,877.59
2022,2,February,1094,968865.79,885.62
2022,3,March,1208,1077961.57,892.35
2022,4,April,1291,1165775.98,903.0
2022,5,May,1339,1234258.82,921.78
2022,6,June,1442,1282809.28,889.6
2022,7,July,1596,1410863.0,884.0
2022,8,August,1770,1557232.31,879.79
2022,9,September,1787,1588523.79,888.93
2022,10,October,1989,1787649.99,898.77
2022,11,November,1990,1791325.98,900.16
2022,12,December,2115,1886970.56,892.18
2023,1,January,2776,2474619.57,891.43
2023,2,February,2961,2653474.46,896.14
2023,3,March,3194,2914924.26,912.63
2023,4,April,3249,2849861.58,877.15
2023,5,May,3452,3079964.66,892.23
2023,6,June,3636,3216175.16,884.54
2023,7,July,3716,3272306.2,880.6
2023,8,August,3963,3485901.79,879.61
2023,9,September,4077,3610121.55,885.48
2023,10,October,4336,3954160.79,911.94
2023,11,November,4450,4011260.11,901.41
2023,12,December,4408,3913962.75,887.92
2024,1,January,5748,5090508.37,885.61
2024,2,February,5905,5243568.6,887.99
2024,3,March,6364,5688020.77,893.78
2024,4,April,6356,5795594.29,911.83
2024,5,May,6738,6128004.03,909.47
2024,6,June,6938,6110463.53,880.72
2024,7,July,7134,6292190.0,882.0
2024,8,August,7481,6600372.92,882.28
2024,9,September,7376,6461048.46,875.96
2024,10,October,7843,6956487.79,886.97
2024,11,November,8007,7021342.5,876.9
2024,12,December,8240,7359937.36,893.2
2025,1,January,9189,8112178.59,882.81
2025,2,February,8950,7858825.13,878.08
2025,3,March,9531,8487305.11,890.49
2025,4,April,9716,8796248.51,905.34
2025,5,May,9756,8822145.41,904.28
2025,6,June,10079,9123183.32,905.17
2025,7,July,10307,9368038.94,908.9
2025,8,August,10646,9695439.95,910.71
2025,9,September,10736,9676696.94,901.33
2025,10,October,11008,9947974.94,903.7
2025,11,November,11543,10576943.94,916.31
2025,12,December,11794,10619646.23,900.43
