customer_id,city,tier,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
C067982,Delhi,casual,149.0,1,1528.0,3,2,2,7,New/Promising
C072486,Mumbai,casual,1225.0,1,1190.0,1,1,2,4,Needs Attention
C077669,Delhi,casual,66.0,3,2718.0,4,3,3,10,Champion
C077740,Bangalore,casual,347.0,2,1478.0,2,2,2,6,Needs Attention
C091972,Mumbai,casual,91.0,3,2083.47,3,3,3,9,Champion
C027158,Bangalore,casual,298.0,1,988.0,2,1,1,4,Needs Attention
C039282,Pune,casual,116.0,3,2919.86,3,3,3,9,Champion
C090972,Hyderabad,casual,941.0,1,746.0,1,1,1,3,Needs Attention
C017651,Mumbai,casual,606.0,4,4039.0,1,4,4,9,Loyal
C087871,Mumbai,casual,35.0,1,1780.0,4,2,2,8,New/Promising
C053281,Hyderabad,casual,667.0,1,604.0,1,1,1,3,Needs Attention
C039561,Pune,casual,876.0,2,1890.0,1,2,2,5,Needs Attention
C054976,Mumbai,casual,443.0,1,473.67,2,1,1,4,Needs Attention
C089194,Pune,casual,379.0,1,350.0,2,1,1,4,Needs Attention
C069254,Hyderabad,casual,413.0,1,288.0,2,1,1,4,Needs Attention
C043805,Hyderabad,regular,349.0,1,1615.0,2,2,2,6,Needs Attention
C021388,Hyderabad,casual,189.0,4,3469.0,3,4,3,10,Champion
C078612,Pune,casual,910.0,1,667.36,1,1,1,3,Needs Attention
C056994,Mumbai,regular,45.0,6,4468.0,4,4,4,12,Champion
C020880,Delhi,casual,136.0,2,2038.66,3,2,3,8,New/Promising
C052191,Delhi,casual,553.0,1,918.0,1,1,1,3,Needs Attention
C021378,Delhi,casual,687.0,2,1821.0,1,2,2,5,Needs Attention
C060248,Hyderabad,casual,1233.0,2,2928.0,1,3,3,7,Loyal
C095178,Hyderabad,casual,494.0,3,554.99,1,3,1,5,At Risk
C055879,Delhi,casual,480.0,1,756.0,1,1,1,3,Needs Attention
C080559,Pune,casual,710.0,3,2182.92,1,3,3,7,Loyal
C018631,Pune,casual,493.0,2,802.0,1,2,1,4,Needs Attention
C080278,Bangalore,casual,99.0,3,1017.0,3,3,1,7,Needs Attention
C057418,Pune,casual,118.0,1,913.0,3,1,1,5,New/Promising
C018662,Bangalore,regular,132.0,5,3882.0,3,4,4,11,Champion
