city,tier,customers,completed_orders,revenue,avg_order_value
Mumbai,casual,11856,23043,20664545.23,896.78
Delhi,casual,11680,22738,20447890.58,899.28
Hyderabad,casual,11649,22508,20292323.93,901.56
Bangalore,casual,11791,22673,20291189.84,894.95
Pune,casual,11507,22374,20017620.68,894.68
Pune,regular,4013,18547,16531233.51,891.32
Delhi,regular,3955,18100,16155057.81,892.54
Hyderabad,regular,3960,18093,16153537.74,892.81
Mumbai,regular,3940,17963,16089610.79,895.71
Bangalore,regular,3930,17867,16017195.35,896.47
Delhi,loyal,1008,15129,13529150.87,894.25
Pune,loyal,1004,15165,13511385.39,890.96
Mumbai,loyal,996,15027,13426418.63,893.49
Bangalore,loyal,1007,14907,13359066.54,896.16
Hyderabad,loyal,985,14933,13358403.18,894.56
