delivery_partner_id,deliveries,avg_delivery_minutes,avg_distance_km,late_deliveries,pct_late
D0079,936,33.01,6.21,52,5.56
D0214,958,33.19,6.43,52,5.43
D0092,894,33.13,6.14,48,5.37
D0169,915,32.77,6.27,48,5.25
D0248,950,33.08,6.33,49,5.16
D0259,912,33.15,6.18,47,5.15
D0230,923,32.9,6.12,47,5.09
D0228,944,32.97,6.41,48,5.08
D0096,926,33.29,6.45,47,5.08
D0266,914,33.31,6.42,46,5.03
D0085,934,33.29,6.49,47,5.03
D0294,937,33.28,6.18,47,5.02
D0252,918,32.79,6.37,46,5.01
D0067,965,33.44,6.18,48,4.97
D0210,928,32.79,6.41,46,4.96
D0290,912,33.03,6.2,45,4.93
D0034,937,33.11,6.21,46,4.91
D0007,938,32.64,6.19,46,4.9
D0033,970,33.22,6.35,47,4.85
D0231,938,33.74,6.43,45,4.8
D0260,919,33.26,6.25,44,4.79
D0216,960,33.04,6.23,46,4.79
D0024,897,32.97,6.28,43,4.79
D0283,903,33.15,6.36,43,4.76
D0164,882,33.03,6.18,42,4.76
D0125,954,33.56,6.18,45,4.72
D0300,956,32.99,6.27,45,4.71
D0178,937,33.33,6.3,44,4.7
D0008,960,32.86,6.45,45,4.69
D0241,962,32.97,6.17,45,4.68
D0041,944,33.26,6.27,44,4.66
D0152,948,33.35,6.27,44,4.64
D0026,905,33.39,6.1,42,4.64
D0049,972,33.12,6.25,45,4.63
D0184,980,32.92,6.13,45,4.59
D0100,936,33.38,6.4,43,4.59
D0087,896,33.11,6.23,41,4.58
D0218,919,33.25,6.26,42,4.57
D0204,944,33.05,6.31,43,4.56
D0091,964,33.13,6.45,44,4.56
D0089,899,33.15,6.16,41,4.56
D0038,924,33.15,6.08,42,4.55
D0256,949,32.66,6.1,43,4.53
D0114,927,33.29,6.1,42,4.53
D0232,933,33.49,6.32,42,4.5
D0093,958,33.04,6.14,43,4.49
D0023,914,33.19,6.34,41,4.49
D0127,892,33.33,6.33,40,4.48
D0097,940,33.31,6.11,42,4.47
D0197,942,33.09,6.21,42,4.46
D0012,921,32.97,6.25,41,4.45
D0161,996,32.99,6.2,44,4.42
D0253,908,33.17,6.39,40,4.41
D0200,887,33.43,6.33,39,4.4
D0172,931,32.91,6.23,41,4.4
D0094,912,33.32,6.22,40,4.39
D0072,912,33.29,6.31,40,4.39
D0281,913,32.78,6.33,40,4.38
D0254,895,32.72,6.36,39,4.36
D0165,942,33.02,5.86,41,4.35
D0296,898,32.91,6.31,39,4.34
D0271,899,33.94,6.11,39,4.34
D0270,945,33.17,6.18,41,4.34
D0265,923,32.82,6.21,40,4.33
D0122,948,33.02,6.45,41,4.32
D0245,904,32.85,6.03,39,4.31
