promo_id,promo_name,discount_type,orders_used,total_discount_given,revenue_from_promo_orders,avg_order_value
PROMO029,Referral Reward,flat,3998,381732.42,3346902.58,837.14
PROMO012,Bulk Order Discount,percent,2921,332650.39,2347590.61,803.69
PROMO028,Bulk Order Discount,percent,2612,434668.14,2140362.86,819.43
PROMO006,Happy Hours,percent,1123,123251.26,897536.74,799.23
PROMO043,Bulk Order Discount,percent,1117,85226.46,930544.54,833.07
PROMO033,New User Offer,flat,924,85937.38,765758.62,828.74
PROMO022,Referral Reward,,899,47140.77,793901.23,883.09
PROMO046,Loyalty Bonus,flat,893,121231.34,799666.66,895.48
PROMO048,New User Offer,flat,753,51986.1,666310.9,884.88
PROMO038,Weekend Deal,flat,715,88943.36,673485.64,941.94
PROMO009,New User Offer,flat,705,68469.76,607314.24,861.44
PROMO024,New User Offer,flat,683,98622.72,623828.28,913.36
PROMO040,Bulk Order Discount,percent,631,95687.52,534617.48,847.25
PROMO050,Bulk Order Discount,percent,618,123247.11,501911.89,812.16
PROMO007,Festival Offer,percent,569,66782.16,465659.84,818.38
PROMO021,First Order Discount,flat,544,48979.25,454676.75,835.8
PROMO011,Weekend Deal,flat,520,63508.48,477003.52,917.31
PROMO016,New User Offer,flat,510,45285.0,419316.0,822.19
PROMO004,Bulk Order Discount,flat,492,21314.79,416918.21,847.39
PROMO002,Bulk Order Discount,percent,466,103047.03,349159.97,749.27
PROMO042,Loyalty Bonus,percent,447,137051.52,344675.48,771.09
PROMO030,Festival Offer,percent,445,92566.97,344616.03,774.42
PROMO045,Flash Sale,flat,430,50410.88,412644.12,959.64
PROMO005,First Order Discount,percent,413,72705.08,349090.92,845.26
PROMO025,First Order Discount,flat,362,31822.62,327758.38,905.41
PROMO031,Combo Saver,percent,340,27705.49,283533.51,833.92
PROMO003,First Order Discount,percent###,338,69158.71,269251.29,796.6
PROMO047,Flash Sale,flat,321,8061.16,280404.84,873.54
PROMO027,Festival Offer,flat,263,16579.07,239691.93,911.38
PROMO019,New User Offer,flat,251,6242.43,217014.57,864.6
PROMO036,New User Offer,flat,248,31661.14,221675.86,893.85
PROMO049,Festival Offer,flat,248,31432.8,232207.2,936.32
PROMO010,Referral Reward,flat,224,30666.57,199658.43,891.33
PROMO026,Combo Saver,percent,210,10510.01,188402.99,897.16
PROMO008,Weekend Deal,percent,161,32856.82,129096.18,801.84
PROMO015,Combo Saver,flat,137,7907.04,123119.96,898.69
PROMO041,Festival Offer,percent,129,27345.27,103548.73,802.7
PROMO032,Festival Offer,percent,109,8893.3,91657.7,840.9
PROMO014,Festival Offer,percent,107,12094.58,77732.42,726.47
PROMO034,Festival Offer,flat,55,5718.35,49354.65,897.36
PROMO013,Weekend Deal,percent,36,9946.74,28441.26,790.03
PROMO044,Weekend Deal,percent###,32,3252.63,29856.37,933.01
PROMO037,Happy Hours,flat,19,1367.81,17997.19,947.22
PROMO023,New User Offer,percent,16,2007.98,9774.02,610.88
PROMO020,Happy Hours,percent,13,830.62,9779.38,752.26
PROMO001,Festival Offer,flat,6,643.56,4081.44,680.24
PROMO035,First Order Discount,percent,5,238.73,2870.27,574.05
PROMO039,Bulk Order Discount,percent,4,806.85,3742.15,935.54
