refund_reason,refund_type,refund_status,refunds,total_refunded,avg_resolution_minutes
delay,partial,processed,2689,1368830.29,4205.5
user_cancel,partial,processed,2627,1356837.55,4283.8
restaurant_issue,partial,processed,2506,1289331.26,4305.3
user_cancel,full,processed,1317,1234865.0,4376.8
delay,full,processed,1301,1208306.0,4297.3
restaurant_issue,full,processed,1277,1159300.0,4302.7
restaurant_issue,partial,pending,242,130130.36,4465.8
delay,partial,pending,241,129442.15,4271.6
user_cancel,partial,pending,204,111019.37,4363.2
user_cancel,partial,failed,134,68272.18,4003.6
restaurant_issue,partial,failed,131,63420.01,4230.7
restaurant_issue,full,pending,130,129554.0,4187.1
delay,full,pending,129,105506.0,4399.4
delay,partial,failed,118,59940.38,4107.1
user_cancel,full,pending,113,101812.0,4553.5
user_cancel,full,failed,72,67457.0,4260.0
restaurant_issue,full,failed,64,66070.0,4770.0
delay,full,failed,52,48252.0,4404.7
