item_id,units_sold,revenue,orders_containing_item
I0171,5141.0,2502450.0,3387
I0050,5091.0,2499990.0,3369
I0175,5051.0,2469052.0,3351
I0020,5037.0,2457180.0,3357
I0110,4990.0,2425995.0,3364
I0005,5074.0,2414330.0,3349
I0134,5035.0,2385537.0,3365
I0126,4934.0,2384910.0,3288
I0036,4936.0,2383056.0,3302
I0081,4961.0,2379930.0,3278
I0002,5035.0,2378400.0,3347
I0039,5125.0,2364570.0,3388
I0018,4859.0,2354715.0,3265
I0046,4968.0,2327382.0,3302
I0009,5005.0,2302530.0,3347
I0071,5042.0,2300642.0,3356
I0169,5016.0,2298816.0,3319
I0064,5031.0,2285052.0,3329
I0054,4905.0,2284830.0,3268
I0043,4830.0,2283996.0,3219
